brand,city,review_text,rating,date,likes,author,place_id,food_items,food_items_list,taste_attributes,value_attributes,quality_attributes,sentiment_compound,sentiment_positive,sentiment_negative,item_sentiments
McDonald's,New York,the shake was dry. overall amazing experience.,1,2025-07-24,22,User8585,place_McDonald's_New York_2,shake,['shake'],dry,,,0.4767,0.362,0.162,{'shake': -0.1779}
McDonald's,New York,the salad was expensive. overall great experience.,1,2025-08-01,8,User5248,place_McDonald's_New York_3,salad,['salad'],,expensive,,0.6249,0.406,0.0,{'salad': 0.0}
McDonald's,New York,the shake was fresh. overall good experience.,1,2025-10-03,16,User2719,place_McDonald's_New York_5,shake,['shake'],,,fresh,0.5423,0.477,0.156,{'shake': 0.1531}
McDonald's,New York,the shake was cold. overall great experience.,5,2025-09-03,11,User5487,place_McDonald's_New York_4,shake,['shake'],,,cold,0.5267,0.38,0.157,{'shake': -0.1779}
McDonald's,New York,the pizza was dry. overall great experience.,5,2025-12-17,50,User6274,place_McDonald's_New York_4,,[],dry,,,0.6249,0.406,0.0,{}
McDonald's,New York,the fries was juicy. overall good experience.,5,2025-10-24,41,User1421,place_McDonald's_New York_2,fries,['fries'],juicy,,,0.4404,0.326,0.0,{'fries': 0.0}
McDonald's,New York,the nuggets was cheap. overall amazing experience.,3,2025-11-21,25,User4753,place_McDonald's_New York_5,nuggets,['nuggets'],,cheap,,0.5859,0.388,0.0,{'nuggets': 0.0}
McDonald's,New York,the shake was cheap. overall disappointing experience.,3,2025-09-10,31,User2472,place_McDonald's_New York_1,shake,['shake'],,cheap,,-0.5994,0.0,0.495,{'shake': -0.1779}
McDonald's,New York,the wrap was fresh. overall terrible experience.,4,2025-12-30,46,User3485,place_McDonald's_New York_5,wrap,['wrap'],,,fresh,-0.2023,0.221,0.298,{'wrap': 0.3182}
McDonald's,New York,the taco was hot. overall good experience.,3,2025-09-25,34,User1722,place_McDonald's_New York_4,taco,['taco'],,,hot,0.4404,0.326,0.0,{'taco': 0.0}
McDonald's,New York,the burger was stale. overall terrible experience.,5,2025-10-27,4,User1964,place_McDonald's_New York_5,burger,['burger'],,,stale,-0.4767,0.0,0.341,{'burger': 0.0}
McDonald's,Los Angeles,the wrap was cheap. overall disappointing experience.,3,2025-09-27,18,User6917,place_McDonald's_Los Angeles_2,wrap,['wrap'],,cheap,,-0.4939,0.0,0.348,{'wrap': 0.0}
McDonald's,Los Angeles,the shake was fresh. overall okay experience.,3,2025-12-13,31,User3511,place_McDonald's_Los Angeles_5,shake,['shake'],,,fresh,0.3612,0.424,0.172,{'shake': 0.1531}
McDonald's,Los Angeles,the burger was cold. overall good experience.,3,2025-11-15,45,User2744,place_McDonald's_Los Angeles_4,burger,['burger'],,,cold,0.4404,0.326,0.0,{'burger': 0.0}
McDonald's,Los Angeles,the wrap was dry. overall good experience.,3,2025-11-20,20,User3195,place_McDonald's_Los Angeles_3,wrap,['wrap'],dry,,,0.4404,0.326,0.0,{'wrap': 0.0}
McDonald's,Los Angeles,the nuggets was dry. overall great experience.,3,2025-07-05,15,User7643,place_McDonald's_Los Angeles_5,nuggets,['nuggets'],dry,,,0.6249,0.406,0.0,{'nuggets': 0.0}
McDonald's,Los Angeles,the nuggets was stale. overall great experience.,3,2025-08-22,36,User3806,place_McDonald's_Los Angeles_3,nuggets,['nuggets'],,,stale,0.6249,0.406,0.0,{'nuggets': 0.0}
McDonald's,Los Angeles,the burger was crispy. overall terrible experience.,1,2025-11-19,17,User6283,place_McDonald's_Los Angeles_5,burger,['burger'],crispy,,,-0.4767,0.0,0.341,{'burger': 0.0}
McDonald's,Los Angeles,the fries was crispy. overall disappointing experience.,4,2025-09-11,37,User3846,place_McDonald's_Los Angeles_2,fries,['fries'],crispy,,,-0.4939,0.0,0.348,{'fries': 0.0}
McDonald's,Los Angeles,the wrap was expensive. overall terrible experience.,5,2025-08-06,36,User5526,place_McDonald's_Los Angeles_5,wrap,['wrap'],,expensive,,-0.4767,0.0,0.341,{'wrap': 0.0}
McDonald's,Los Angeles,the coffee was crispy. overall amazing experience.,3,2025-11-23,7,User2597,place_McDonald's_Los Angeles_2,coffee,['coffee'],crispy,,,0.5859,0.388,0.0,{'coffee': 0.0}
McDonald's,Los Angeles,the fries was crispy. overall disappointing experience.,1,2025-10-08,42,User6902,place_McDonald's_Los Angeles_4,fries,['fries'],crispy,,,-0.4939,0.0,0.348,{'fries': 0.0}
McDonald's,Chicago,the fries was greasy. overall disappointing experience.,1,2025-10-10,50,User2481,place_McDonald's_Chicago_3,fries,['fries'],greasy,,,-0.4939,0.0,0.348,{'fries': 0.0}
McDonald's,Chicago,the shake was greasy. overall okay experience.,4,2025-10-31,42,User8937,place_McDonald's_Chicago_3,shake,['shake'],greasy,,,0.0516,0.221,0.198,{'shake': -0.1779}
McDonald's,Chicago,the nuggets was juicy. overall great experience.,4,2025-10-13,32,User1344,place_McDonald's_Chicago_2,nuggets,['nuggets'],juicy,,,0.6249,0.406,0.0,{'nuggets': 0.0}
McDonald's,Chicago,the chicken sandwich was juicy. overall great experience.,5,2025-11-30,36,User3001,place_McDonald's_Chicago_4,"chicken sandwich,sandwich,chicken","['chicken sandwich', 'sandwich', 'chicken']",juicy,,,0.6249,0.369,0.0,"{'chicken sandwich': 0.0, 'sandwich': 0.0, 'chicken': 0.0}"
McDonald's,Chicago,the coffee was juicy. overall great experience.,5,2025-12-20,4,User6453,place_McDonald's_Chicago_4,coffee,['coffee'],juicy,,,0.6249,0.406,0.0,{'coffee': 0.0}
McDonald's,Chicago,the nuggets was crispy. overall amazing experience.,5,2025-12-07,8,User7642,place_McDonald's_Chicago_5,nuggets,['nuggets'],crispy,,,0.5859,0.388,0.0,{'nuggets': 0.0}
McDonald's,Chicago,the shake was dry. overall good experience.,2,2025-08-12,5,User4542,place_McDonald's_Chicago_5,shake,['shake'],dry,,,0.296,0.302,0.177,{'shake': -0.1779}
McDonald's,Chicago,the nuggets was stale. overall okay experience.,2,2025-07-19,46,User8597,place_McDonald's_Chicago_1,nuggets,['nuggets'],,,stale,0.2263,0.241,0.0,{'nuggets': 0.0}
McDonald's,Chicago,the shake was juicy. overall disappointing experience.,3,2025-12-01,18,User9902,place_McDonald's_Chicago_4,shake,['shake'],juicy,,,-0.5994,0.0,0.495,{'shake': -0.1779}
McDonald's,Chicago,the burger was cheap. overall okay experience.,4,2025-08-14,36,User2948,place_McDonald's_Chicago_3,burger,['burger'],,cheap,,0.2263,0.241,0.0,{'burger': 0.0}
McDonald's,Chicago,the burger was dry. overall okay experience.,4,2025-11-06,43,User4818,place_McDonald's_Chicago_4,burger,['burger'],dry,,,0.2263,0.241,0.0,{'burger': 0.0}
McDonald's,Dallas,the nuggets was cheap. overall disappointing experience.,1,2025-12-21,1,User8155,place_McDonald's_Dallas_4,nuggets,['nuggets'],,cheap,,-0.4939,0.0,0.348,{'nuggets': 0.0}
McDonald's,Dallas,the salad was fresh. overall terrible experience.,5,2025-10-11,8,User3444,place_McDonald's_Dallas_1,salad,['salad'],,,fresh,-0.2023,0.221,0.298,{'salad': 0.3182}
McDonald's,Dallas,the shake was hot. overall great experience.,1,2025-08-28,19,User4373,place_McDonald's_Dallas_3,shake,['shake'],,,hot,0.5267,0.38,0.157,{'shake': -0.1779}
McDonald's,Dallas,the coffee was cold. overall amazing experience.,1,2025-11-13,0,User2928,place_McDonald's_Dallas_2,coffee,['coffee'],,,cold,0.5859,0.388,0.0,{'coffee': 0.0}
McDonald's,Dallas,the salad was cheap. overall good experience.,5,2025-07-16,40,User5864,place_McDonald's_Dallas_3,salad,['salad'],,cheap,,0.4404,0.326,0.0,{'salad': 0.0}
