product_id,category,ingredients,sensory_tags,sugar_g,caffeine_mg,calories,protein_g,description,price
prod_000,water_enhanced,"caffeine,water,potassium,sodium,ginseng,citric_acid","fizzy,bitter",0.917173949330819,0.0,5.96850157946487,0.0,Enhanced water_enhanced with caffeine and water. Fizzy and bitter.,1.85
prod_001,juice,"b_vitamins,probiotics,sugar,water,citric_acid,caffeine,electrolytes","floral,sweet,refreshing,bold,light",22.14300226882911,0.0,83.94881053189702,1.4439975445336495,Fresh floral juice packed with b_vitamins and probiotics. sweet and delicious.,4.78
prod_002,soda,"taurine,probiotics,sodium,electrolytes,potassium,antioxidants","sweet,spicy",37.34963019255433,30.582658024414044,100.70663052197175,0.0,Classic sweet soda with spicy taste. Made with taurine.,3.34
prod_003,water_enhanced,"probiotics,protein,potassium,carbonation","refreshing,light,fizzy,sour,nutty",1.4607232426760908,0.0,4.56069984217036,0.0,Enhanced water_enhanced with probiotics and protein. Refreshing and light.,2.2
prod_004,water_enhanced,"caffeine,fiber,b_vitamins,potassium,sugar,taurine","herbal,fizzy,fruity,sour,tart",2.3338144662398994,0.0,6.803075385877797,0.0,Enhanced water_enhanced with caffeine and fiber. Herbal and fizzy.,1.55
prod_005,energy_drink,"calcium,fiber,vitamin_c,citric_acid,sugar,protein","smooth,rich,bitter",31.16794696232922,116.55365230080449,59.76721140063839,3.4211651325607844,A smooth and rich energy_drink with calcium and fiber. Perfect for when you need a boost.,3.04
prod_006,water_enhanced,"sodium,caffeine,antioxidants,potassium,electrolytes,protein","bold,spicy",4.165974558680822,0.0,3.910606075732408,0.0,Enhanced water_enhanced with sodium and caffeine. Bold and spicy.,4.14
prod_007,tea,"fiber,coffee_extract,vitamin_c,potassium,citric_acid,calcium,protein,green_tea_extract","nutty,smooth,spicy",8.200654190149194,27.394178221021082,48.47923138822793,0.7751328233611146,Premium nutty tea infused with fiber and coffee_extract. smooth and spicy.,4.79
prod_008,tea,"electrolytes,antioxidants,potassium,sodium,protein,probiotics","sour,smooth,nutty",10.909079937846313,33.06163075223341,28.52219872026997,0.5208342600258237,Premium sour tea infused with electrolytes and antioxidants. smooth and nutty.,4.86
prod_009,coffee_drink,"protein,antioxidants,potassium,citric_acid,vitamin_c,electrolytes,calcium","light,refreshing,earthy",15.793842647781595,108.67511656638482,145.48318994433794,3.0351712384334233,Light coffee_drink with protein and antioxidants. refreshing and earthy.,2.47
prod_010,coffee_drink,"antioxidants,electrolytes,carbonation,potassium,taurine,caffeine,fiber","nutty,tart",5.312728134823878,92.34014807063696,71.33459736282406,1.4674408735901907,Nutty coffee_drink with antioxidants and electrolytes. tart and bold.,1.55
prod_011,juice,"b_vitamins,probiotics,antioxidants","bold,smooth,creamy,tart,floral",30.93510752061481,0.0,85.18312562138632,0.7169314570885452,Fresh bold juice packed with b_vitamins and probiotics. smooth and delicious.,1.91
prod_012,water_enhanced,"citric_acid,sugar,caffeine","creamy,spicy,citrusy,rich,sour",2.247253370691017,0.0,3.7081825219826636,0.0,Enhanced water_enhanced with citric_acid and sugar. Creamy and spicy.,3.83
prod_013,sports_drink,"antioxidants,coffee_extract,electrolytes,ginseng,potassium,green_tea_extract,probiotics,water","fizzy,tart,light,sour",18.418651387715517,0.0,98.01984667723727,8.48913824266084,Electrolyte-rich sports_drink with antioxidants and coffee_extract. fizzy and tart.,4.03
prod_014,water_enhanced,"calcium,probiotics,natural_flavors,electrolytes,water,fiber,ginseng,carbonation","floral,spicy,fizzy,citrusy",0.20216794769215674,0.0,1.1089082081183133,0.0,Enhanced water_enhanced with calcium and probiotics. Floral and spicy.,2.21
prod_015,water_enhanced,"calcium,ginseng,vitamin_c","creamy,bold,spicy,tart,fruity",2.8163778598819182,0.0,1.3933145440587569,0.0,Enhanced water_enhanced with calcium and ginseng. Creamy and bold.,3.39
prod_016,coffee_drink,"ginseng,water,protein,green_tea_extract,b_vitamins,sugar","bold,rich",6.539598196575859,78.9751452913768,40.958767343020575,4.648488261712865,Bold coffee_drink with ginseng and water. rich and bold.,4.33
prod_017,energy_drink,"sodium,sugar,coffee_extract,citric_acid,ginseng,fiber,taurine","bitter,creamy,floral",24.130691409658205,106.21285246602002,91.65099478703662,4.416401294594341,A bitter and creamy energy_drink with sodium and sugar. Perfect for when you need a boost.,2.64
prod_018,water_enhanced,"green_tea_extract,taurine,natural_flavors,potassium,probiotics,caffeine","nutty,refreshing",1.5900173748593194,0.0,2.279351625419417,0.0,Enhanced water_enhanced with green_tea_extract and taurine. Nutty and refreshing.,4.36
prod_019,energy_drink,"calcium,antioxidants,fiber,electrolytes,ginseng","fizzy,smooth,floral,sour",18.293117062858833,144.09073032505304,98.48299713589832,3.4621801644513517,A fizzy and smooth energy_drink with calcium and antioxidants. Perfect for when you need a boost.,2.44
prod_020,water_enhanced,"protein,water,taurine,sodium,ginseng","sweet,bitter,sour",1.093821097865351,0.0,4.038361710580408,0.0,Enhanced water_enhanced with protein and water. Sweet and bitter.,2.39
